date,PS_OL(tonVS),FWW_OL(tonVS),Digester B_TS(%),Digester B_VS(%),Digester B_CH4(%),Digester B_CO2(%),Digester B_H2S,Biogas B
2019-07-18,10.448395335924461,10.416529572338463,0.03755075968426337,0.018752566500889616,,,60.0,15315.5
2019-07-19,14.190068221481829,10.599911647769124,0.03725286160249746,0.018418314255983313,,,,16284.0
2019-07-20,15.510074567666184,11.141952584302771,0.03725286160249746,0.018418314255983313,,,,16472.5
2019-07-21,9.652546406473105,10.720365189221045,0.03725286160249746,0.018418314255983313,,,,15196.5
2019-07-22,7.702592922734284,10.780591959947007,0.03725286160249746,0.018418314255983313,,,,14494.0
2019-07-23,9.121491619027442,10.599911647769124,0.0369242985706723,0.0189147866596084,,,50.0,15154.5
2019-07-24,10.607956919905988,10.599911647769124,0.0369242985706723,0.0189147866596084,,,,15008.0
2019-07-25,9.256624828198218,10.91323737437252,0.0369242985706723,0.0189147866596084,,,,14904.5
2019-07-26,9.662024455710549,11.159864207691673,0.0369242985706723,0.0189147866596084,,,50.0,15889.5
2019-07-27,5.9427306047648605,9.926730041095906,0.0369242985706723,0.0189147866596084,,,,15999.5
2019-07-28,4.579718998167416,9.433476374457602,0.0369242985706723,0.0189147866596084,,,,15381.0
2019-07-29,8.069028711056875,10.235013582744848,0.0369242985706723,0.0189147866596084,,,,14686.5
2019-07-30,6.924098961515021,9.80341662443633,0.0369242985706723,0.0189147866596084,0.586,0.406,51.0,16099.5
2019-07-31,5.015882712278598,11.468147749340613,0.0369242985706723,0.0189147866596084,0.594,0.404,51.0,15406.5
2019-08-01,6.308433734939796,11.844752873202278,0.0379129129129129,0.02008258258258245,,,,16675.5
2019-08-02,6.5593220338983125,11.462924845624773,0.0379129129129129,0.02008258258258245,,,,16338.0
2019-08-03,4.563006632277087,11.592449420151608,0.0379129129129129,0.02008258258258245,,,,15953.0
2019-08-04,4.905232129697868,11.462924845624773,0.0379129129129129,0.02008258258258245,,,,16101.0
2019-08-05,6.2170965364775315,11.52768713288819,0.0379129129129129,0.02008258258258245,,,,16115.5
2019-08-06,6.0371872160787134,11.410173842498692,0.03646038628301153,0.01902837997635011,,,,16056.0
2019-08-07,6.451503985809607,10.26278205945413,0.03646038628301153,0.01902837997635011,,,,15679.5
2019-08-08,5.20855367661693,9.17913426435649,0.03646038628301153,0.01902837997635011,,,,13576.0
2019-08-09,6.1555634360018265,10.32652604740105,0.03646038628301153,0.01902837997635011,0.599,0.379,67.0,14029.0
